,"2016-01
Transmitter Park,
May 27, 2016","4Ah
BCS,
June 14, 2016","Baseline Spats and Site
ORS 4 tagged spat,
June 23, 2016","June 24 2016
Pier A,
June 24, 2016","Day 1 Data Collection
Tarrytown Boat Club,
July 6, 2016","2016-02
Transmitter Park,
July 9, 2016","7/12/16 - Pier 40
Pier 40,
July 11, 2016","7/17/16
Bearbower,
July 17, 2016","7/19/16 - Pier 26
Pier 26,
July 19, 2016","Day 2 Data Collection
Tarrytown Boat Club,
July 20, 2016","July 23, 2016
61st & John Finley Walk,
July 23, 2016"
Total mass of scrubbed substrate shell + oysters + tag (g),,,,,,0,,,,,
Measurements (mm),"30,16,30,28,30,24,35,25",,"27,29,23,19,14,19","25,22,30","46,41,35,34,45,39","30,20,20,25,35,40,40,40,35,35","45,42,33,50,23,41,29,54,28,63,30","10,20,50,30,30,50,60,30,20","20,25,45,40","19,19,32,35,34,31","13,25,26,31,15,20,20,25"
Minimum size of live oysters (mm),16,,14,22,34,20,23,10,20,19,13
Maximum size of live oysters (mm),35,,29,30,46,40,63,60,45,35,31
Average size of live oysters (mm),27.25,,21.83333333,25.66666667,40,32,39.81818182,33.33333333,32.5,28.33333333,21.875
Substrate Shell #4,,,,,,,,,,,
Outer side photo,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/outer-substrates/650a04b631d2e53f535a929424f0b156.JPG,,,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/outer-substrates/8448160083d3eac48b5e405b57863c88.JPG,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/outer-substrates/a0ea19d3aee9f7aaba76a74fa221d70e.jpg,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/outer-substrates/6817dc7a1d31191f2bf6dab48cf463ce.JPG,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/outer-substrates/17a0897b4f0eb3acd302485dfa3a4cef.jpg,,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/outer-substrates/c5f553b8926e1081cd3e0b8cb0663662.JPG,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/outer-substrates/060c338ad20f06b35523e9c893baa82b.jpg,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/outer-substrates/89ed79e607f65cd7e95718ee937e4d21.jpg
Inner side photo,https://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/innerSidePhoto1h.jpeg,,,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/inner-substrates707aa5c32c354807d918de68635a783c.JPG,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/inner-substrates6ba05dcef6e9e5bf7b2c024fcf8f549e.jpg,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/inner-substratesa3b2f27709e137a87116bf521becc4c9.JPG,https://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/innerSidePhoto1j.jpeg,,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/inner-substratesea323b6754da031ec7979a5af6fddfe1.JPG,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/inner-substrates5102149c63c3aca5c5f662452f443efd.jpg,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/inner-substrates3c79e6480f7e33bdfca6e305012ca755.jpg
Set date,7/6/2016,6/13/2016,,8/13/2016,7/14/2015,7/6/2016,9/21/2016,6/4/2017,7/11/2015,7/14/2015,7/23/2016
Source,"Muscongus Bay, Maine",,,"Muscongus Bay, Maine","Muscongus Bay, Maine","Muscongus Bay, Maine","Muscongus Bay, Maine","Muscongus Bay, Maine","Muscongus Bay, Maine","Muscongus Bay, Maine",oyster garden
Total number of live oysters at baseline,5,,,3,3,5,5,12,,3,
Total mass of live oysters at baseline (g),,,,,,,,0,,,
Total number of live oysters on shell,9,0,7,3,3,5,6,8,11,3,10
Total mass of scrubbed substrate shell + oysters + tag (g),,,,,,0,,23,,,
Measurements (mm),"25,15,15,20,23,21,32,26,20",,"35,22,34,36,25,26,38","22,10,20","27,22,19","30,45,45,40,35","21,43,38,30,28,37","20,20,20,30,2,2,2,4","19,30,23,20,36,33,38,35,42,32,34","29,35,27","29,35,32,35,32,40,26,36,30,23"
Minimum size of live oysters (mm),15,,22,10,19,30,21,2,19,27,23
Maximum size of live oysters (mm),32,,38,22,27,45,43,30,42,35,40
Average size of live oysters (mm),21.88888889,,30.85714286,17.33333333,22.66666667,39,32.83333333,12.5,31.09090909,30.33333333,31.8
Substrate Shell #5,,,,,,,,,,,
