"","Expedition 1
Whole Foods Gowanus (MS51),
October 7, 2016","WFC- Baseline
The WaterFront Center,
October 10, 2016","First Expedition
GHS ORS,
October 11, 2016","Day 7 Tarrytown
Tarrytown Boat Club,
October 12, 2016","EXPEDITION #1 7A
IS 281 Joe Gulino,
October 13, 2016","October Oyster Monitoring
IS 288 ORS,
October 13, 2016","APES CURTIS HS 1
CURTIS HS,
October 13, 2016","10/14/16 - Pier 26
Pier 26,
October 14, 2016","Yonkers Day 5
Science Barge,
October 15, 2016","2016-10-16 Monitoring
Katy's Cage on Brooklyn Barge,
October 16, 2016","10/17/16 - Pier 84
Pier 84,
October 17, 2016","PS 71 - McMurray Hall (East) Trip #1
SUNY Maritime McMurray Hall East,
October 17, 2016","Team Leaders
East Harlem,
October 19, 2016","Our first trip!
McKinney Oysters,
October 19, 2016","October Pier 40
Pier 40,
October 20, 2016"
Inner side photo,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/inner-substratese850f9ff716c6db4b54c777a3b21a542.JPG,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/inner-substratesa47438847e829b679954b9d6b450484d.jpg,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/inner-substrates86c0a40388ba065eec74d8b982cc53cc.JPG,,,,,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/inner-substrates1b25edc3dbca4afb0fefc211459beee4.jpg,,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/inner-substrates0aa415cd4d993bb417e0d2f24f823bb6.JPG,,,,,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/inner-substrates61039304790c193f50aa5db1b3d478db.jpg
Set date,1/1/70,1/1/70,11/19/16,7/20/16,,,12/31/69,7/12/15,7/15/15,8/15/15,8/2/16,,6/9/16,,
Source,"Muscongus Bay, Maine","Muscongus Bay, Maine",Wallabout Channel,"Muscongus Bay, Maine",,,"Muscongus Bay, Maine","Muscongus Bay, Maine","Muscongus Bay, Maine","Muscongus Bay, Maine",,,"Muscongus Bay, Maine",,
Total number of live oysters at baseline,5,12,3,,,,2,13,,5,,,9,,
Total mass of live oysters at baseline (g),,,23,,,,,,,,,,,,
Total number of live oysters on shell,2,12,2,0,0,0,2,3,13,4,0,0,5,7,5
Total mass of scrubbed substrate shell + oysters + tag (g),0,96,2.06,0,0,0,0,80.9,0,0,0,0,71.5,0,0
Measurements (mm),"52.08,60.89","45,27,14,17,41,65,23,13,24,24,61,25","22.5,27",,,,"43.4,37.6","60,60,55","63,54,45,44,44,58,33,60,55,51,61,42,44","26,47,34,31",,,"57,41,43,46,30","62,45,21,71,42,30,60","68,68,36.4,74,78.5"
Minimum size of live oysters (mm),52.08,13,22.5,0,,,37.6,55,33,26,0,0,30,21,36.4
Maximum size of live oysters (mm),60.89,65,27,0,,,43.4,60,63,47,0,0,57,71,78.5
Average size of live oysters (mm),56.485,31.583333333333332,24.75,0,,,40.5,58.333333333333336,50.30769230769231,34.5,0,0,43.4,47.285714285714285,64.97999999999999
Substrate Shell #6,,,,,,,,,,,,,,,
Outer side photo,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/outer-substrates/6cfc932c11c4f33b38463801cd9f8fbf.JPG,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/outer-substrates/9afa88159386657b1d76854473dc0c8c.jpg,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/outer-substrates/fc9df9cd17f6ce0bd22c52d55303313a.JPG,,,,,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/outer-substrates/86c91a1d5f865bc583b58ad92e7ae675.jpg,,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/outer-substrates/b022ea38116d7608e9d321fe5d77790f.JPG,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/outer-substrates/98ee4c5c95dd5b7e41e94adae2b140e5.jpg,,,,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/outer-substrates/196e7a22bb052efff5fa3201512aebf5.jpg
